,type,sex,buy
0,ham,0,0
1,ham,0,0
2,spam,0,0
3,ham,0,0
4,ham,0,0
5,spam,0,0
6,ham,0,0
7,ham,0,0
8,spam,0,0
9,spam,0,0
10,ham,0,0
11,spam,0,0
12,spam,0,0
13,ham,0,0
14,ham,0,0
15,spam,0,0
16,ham,0,0
17,ham,0,0
18,ham,0,0
19,spam,0,0
20,ham,0,0
21,ham,0,0
22,ham,0,0
23,ham,0,0
24,ham,0,0
25,ham,0,0
26,ham,0,0
27,ham,0,0
28,ham,0,0
29,ham,0,0
30,ham,0,0
31,ham,0,0
32,ham,0,0
33,ham,0,0
34,spam,0,0
35,ham,0,0
36,ham,0,0
37,ham,0,0
38,ham,0,0
39,ham,0,0
40,ham,0,0
41,ham,0,0
42,spam,0,0
43,ham,0,0
44,ham,0,0
45,ham,0,0
46,ham,0,0
47,ham,0,0
48,ham,0,0
49,ham,0,0
50,ham,0,0
51,ham,0,0
52,ham,0,0
53,ham,0,0
54,spam,0,0
55,ham,0,0
56,spam,0,0
57,ham,0,0
58,ham,0,0
59,ham,0,0
60,ham,0,0
61,ham,0,0
62,ham,0,0
63,ham,0,0
64,ham,0,0
65,spam,0,0
66,ham,0,0
67,spam,0,0
68,spam,0,0
69,ham,0,0
70,ham,0,0
71,ham,0,0
72,ham,0,0
73,ham,0,0
74,ham,0,0
75,ham,0,0
76,ham,0,0
77,ham,0,0
78,ham,0,0
79,ham,0,0
80,ham,0,0
81,ham,0,0
82,ham,0,0
83,ham,0,0
84,ham,0,0
85,ham,0,0
86,ham,0,0
87,ham,0,0
88,ham,0,0
89,ham,0,0
90,ham,0,0
91,ham,0,0
92,ham,0,0
93,spam,0,0
94,ham,0,1
95,spam,0,0
96,ham,0,0
97,ham,0,0
98,ham,0,0
99,ham,0,0
100,ham,0,0
101,ham,0,0
102,ham,0,1
103,ham,0,0
104,ham,0,0
105,ham,0,0
106,ham,0,0
107,ham,0,0
108,ham,0,0
109,ham,0,0
110,ham,0,0
111,ham,0,0
112,ham,0,0
113,ham,0,0
114,spam,0,0
115,ham,0,0
116,ham,0,0
117,spam,0,0
118,ham,0,0
119,ham,0,1
120,spam,0,0
121,spam,0,0
122,ham,0,0
123,spam,0,0
124,ham,0,0
125,ham,0,1
126,ham,0,0
127,ham,0,0
128,ham,0,0
129,ham,0,0
130,ham,0,0
131,ham,0,0
132,ham,0,0
133,ham,0,0
134,spam,0,0
135,spam,0,0
136,ham,0,0
137,ham,0,0
138,ham,0,0
139,spam,0,0
140,ham,0,0
141,ham,0,0
142,ham,0,0
143,ham,0,0
144,ham,0,0
145,ham,0,0
146,ham,0,0
147,spam,1,0
148,ham,0,0
149,ham,0,0
150,ham,0,0
151,ham,0,0
152,ham,0,0
153,ham,0,0
154,ham,0,0
155,ham,0,0
156,ham,0,0
157,ham,0,0
158,ham,0,0
159,spam,0,0
160,spam,0,0
161,ham,0,0
162,ham,0,0
163,ham,0,0
164,spam,0,0
165,spam,0,0
166,ham,0,0
167,spam,0,0
168,ham,0,0
169,ham,0,0
170,ham,0,0
171,ham,0,0
172,ham,0,0
173,ham,0,0
174,ham,0,0
175,ham,0,0
176,ham,0,0
177,ham,0,0
178,ham,0,0
179,ham,0,0
180,ham,0,0
181,ham,0,0
182,ham,0,0
183,ham,0,0
184,ham,0,0
185,ham,0,0
186,ham,0,0
187,ham,0,0
188,spam,0,0
189,ham,0,0
190,ham,0,0
191,spam,0,0
192,ham,0,0
193,ham,0,0
194,ham,0,0
195,ham,0,0
196,ham,0,0
197,ham,0,0
198,ham,0,0
199,ham,0,0
200,ham,0,0
201,ham,0,0
202,ham,0,0
203,ham,0,0
204,ham,0,0
205,ham,0,0
206,ham,0,1
207,ham,0,0
208,ham,0,0
209,ham,0,0
210,ham,0,0
211,ham,0,0
212,ham,0,0
213,ham,0,0
214,ham,0,0
215,ham,0,0
216,ham,0,0
217,ham,0,0
218,ham,0,0
219,ham,0,0
220,ham,0,0
221,ham,0,0
222,ham,0,0
223,ham,0,0
224,ham,0,0
225,spam,0,0
226,ham,0,0
227,spam,0,0
228,ham,0,0
229,ham,0,0
230,ham,0,0
231,ham,0,0
232,ham,0,0
233,ham,0,0
234,ham,0,0
235,spam,1,0
236,ham,0,0
237,ham,0,0
238,ham,0,0
239,ham,0,0
240,spam,0,0
241,ham,0,0
242,ham,0,0
243,ham,0,0
244,ham,0,0
245,ham,0,0
246,ham,0,0
247,ham,0,0
248,ham,0,0
249,ham,0,0
250,spam,0,0
251,ham,0,0
252,ham,0,0
253,ham,0,0
254,ham,0,0
255,ham,0,0
256,ham,0,0
257,ham,0,0
258,ham,0,0
259,spam,0,0
260,ham,0,0
261,ham,0,0
262,ham,0,0
263,ham,0,0
264,spam,0,0
265,ham,0,0
266,ham,0,0
267,ham,0,0
268,spam,0,0
269,ham,0,0
270,spam,0,0
271,ham,0,0
272,ham,0,0
273,spam,0,0
274,ham,0,0
275,ham,0,0
276,ham,0,0
277,ham,0,0
278,ham,0,0
279,ham,0,0
280,ham,0,0
281,ham,0,0
282,ham,0,0
283,ham,0,0
284,ham,0,0
285,ham,0,0
286,ham,0,0
287,ham,0,0
288,ham,0,0
289,ham,0,0
290,ham,0,0
291,ham,0,0
292,ham,0,0
293,ham,0,0
294,ham,0,0
295,ham,0,0
296,spam,0,0
297,ham,0,0
298,ham,0,0
299,ham,0,0
300,ham,0,0
301,ham,0,0
302,ham,0,0
303,ham,0,0
304,ham,0,0
305,spam,0,0
306,ham,0,0
307,ham,0,0
308,ham,0,1
309,spam,0,0
310,ham,0,0
311,ham,0,0
312,spam,0,0
313,ham,0,1
314,ham,0,0
315,ham,0,0
316,ham,0,0
317,ham,0,0
318,ham,0,0
319,spam,0,0
320,ham,0,0
321,ham,0,0
322,ham,0,0
323,ham,0,0
324,ham,0,0
325,ham,0,0
326,ham,0,0
327,ham,0,0
328,ham,0,0
329,ham,0,0
330,ham,0,0
331,ham,0,0
332,ham,0,0
333,spam,0,0
334,ham,0,0
335,spam,0,0
336,ham,0,0
337,ham,0,0
338,ham,0,0
339,ham,0,0
340,ham,0,0
341,ham,0,0
342,ham,0,0
343,ham,0,0
344,ham,0,0
345,ham,0,0
346,ham,0,0
347,ham,0,0
348,ham,0,0
349,spam,1,0
350,ham,0,0
351,ham,0,0
352,ham,0,0
353,ham,0,0
354,ham,0,0
355,ham,0,0
356,ham,0,0
357,spam,0,0
358,spam,0,0
359,ham,0,0
360,ham,0,0
361,ham,0,0
362,ham,0,0
363,ham,0,0
364,ham,0,0
365,ham,0,0
366,ham,0,0
367,spam,0,0
368,spam,0,0
369,ham,0,0
370,ham,0,0
371,ham,0,0
372,ham,0,0
373,ham,0,0
374,ham,0,1
375,spam,0,0
376,ham,0,0
377,ham,0,0
378,ham,0,0
379,ham,0,0
380,ham,0,0
381,ham,0,0
382,ham,0,0
383,ham,0,0
384,ham,0,0
385,spam,0,0
386,ham,0,0
387,ham,0,0
388,ham,0,0
389,spam,0,0
390,ham,0,0
391,ham,0,0
392,ham,0,0
393,ham,0,0
394,ham,0,0
395,ham,0,0
396,ham,0,0
397,ham,0,0
398,ham,0,0
399,ham,0,0
400,ham,0,0
401,spam,0,0
402,ham,0,0
403,ham,0,0
404,ham,0,0
405,ham,0,0
406,ham,0,0
407,ham,0,0
408,ham,0,0
409,ham,0,0
410,ham,0,0
411,ham,0,0
412,ham,0,0
413,ham,0,0
414,ham,0,0
415,spam,0,0
416,ham,0,0
417,ham,0,0
418,spam,0,0
419,ham,0,0
420,spam,0,0
421,ham,0,0
422,spam,0,0
423,ham,0,0
424,spam,0,0
425,ham,0,0
426,ham,0,0
427,ham,0,0
428,ham,0,0
429,ham,0,0
430,ham,0,1
431,ham,0,0
432,ham,0,0
433,spam,0,0
434,ham,0,0
435,ham,0,0
436,ham,0,0
437,ham,0,0
438,ham,0,0
439,ham,0,0
440,ham,0,0
441,ham,0,0
442,ham,0,0
443,ham,0,0
444,ham,0,0
445,ham,0,0
446,ham,0,0
447,ham,0,0
448,ham,0,0
449,ham,0,0
450,ham,0,0
451,ham,0,0
452,ham,0,0
453,ham,0,0
454,ham,0,0
455,spam,0,0
456,ham,0,0
457,ham,0,0
458,ham,0,0
459,ham,0,0
460,ham,0,0
461,ham,0,0
462,ham,0,0
463,spam,0,0
464,ham,0,0
465,ham,0,0
466,ham,0,0
467,ham,0,0
468,ham,0,0
469,ham,0,0
470,ham,0,0
471,spam,0,0
472,ham,0,0
473,ham,0,0
474,spam,0,0
475,ham,0,0
476,ham,0,0
477,ham,0,0
478,ham,0,0
479,ham,0,0
480,ham,0,0
481,ham,0,0
482,ham,0,0
483,ham,0,0
484,ham,0,0
485,ham,0,0
486,ham,0,0
487,spam,0,0
488,ham,0,0
489,ham,0,0
490,ham,0,0
491,ham,0,1
492,spam,0,0
493,ham,0,0
494,ham,0,0
495,ham,0,0
496,ham,0,0
497,ham,0,0
498,ham,0,0
499,ham,0,0
500,ham,0,0
501,ham,0,0
502,ham,0,0
503,ham,0,0
504,ham,0,0
505,spam,0,0
506,ham,0,0
507,ham,0,0
508,ham,0,0
509,ham,0,0
510,ham,0,0
511,ham,0,0
512,ham,0,0
513,ham,0,0
514,ham,0,0
515,spam,0,0
516,ham,0,0
517,spam,0,0
518,spam,0,0
519,ham,0,0
520,ham,0,0
521,ham,0,0
522,ham,0,0
523,ham,0,0
524,ham,0,0
525,spam,0,0
526,ham,0,0
527,spam,0,0
528,ham,0,0
529,spam,0,0
530,ham,0,0
531,spam,0,0
532,ham,0,0
533,ham,0,0
534,ham,0,0
535,ham,0,0
536,ham,0,0
537,ham,0,0
538,ham,0,0
539,ham,0,0
540,ham,0,0
541,spam,0,0
542,ham,0,0
543,ham,0,0
544,ham,0,0
545,ham,0,0
546,ham,0,0
547,ham,0,0
548,ham,0,0
549,ham,0,0
550,ham,0,0
551,ham,0,0
552,ham,0,0
553,ham,0,0
554,ham,0,0
555,ham,0,0
556,ham,0,0
557,ham,0,0
558,ham,0,0
559,ham,0,0
560,ham,0,0
561,ham,0,0
562,ham,0,0
563,ham,0,0
564,spam,0,0
565,ham,0,0
566,ham,0,0
567,ham,0,0
568,ham,0,0
569,ham,0,0
570,ham,0,0
571,ham,0,0
572,ham,0,0
573,ham,0,0
574,ham,0,0
575,ham,0,0
576,spam,0,0
577,ham,0,0
578,ham,0,0
579,spam,0,0
580,ham,0,0
581,ham,0,0
582,ham,0,0
583,spam,0,0
584,ham,0,0
585,ham,0,0
586,ham,0,0
587,ham,0,0
588,ham,0,0
589,ham,0,0
590,ham,0,0
591,spam,0,0
592,spam,0,0
593,spam,0,0
594,ham,0,0
595,ham,0,0
596,ham,0,0
597,ham,0,0
598,spam,0,0
599,ham,0,0
600,ham,0,1
601,ham,0,0
602,ham,0,0
603,ham,0,0
604,ham,0,0
605,ham,0,0
606,ham,0,0
607,spam,0,0
608,ham,0,0
609,ham,0,0
610,ham,0,0
611,spam,0,0
612,ham,0,0
613,ham,0,0
614,ham,0,0
615,ham,0,0
616,ham,0,0
617,ham,0,0
618,ham,0,0
619,ham,0,0
620,ham,0,0
621,ham,0,0
622,ham,0,0
623,ham,0,0
624,ham,0,0
625,ham,0,0
626,ham,0,0
627,ham,0,0
628,ham,0,0
629,spam,0,0
630,spam,0,0
631,ham,0,0
632,ham,0,0
633,ham,0,0
634,ham,0,0
635,spam,0,0
636,ham,0,0
637,ham,0,0
638,ham,0,0
639,ham,0,0
640,ham,0,0
641,ham,0,0
642,ham,0,0
643,ham,0,0
644,ham,0,0
645,ham,0,0
646,ham,0,0
647,ham,0,0
648,spam,0,0
649,ham,0,0
650,spam,0,0
651,ham,0,0
652,ham,0,0
653,ham,0,0
654,ham,0,0
655,ham,0,0
656,ham,0,0
657,ham,0,0
658,ham,0,0
659,ham,0,0
660,spam,0,0
661,ham,0,0
662,ham,0,0
663,ham,0,0
664,ham,0,0
665,ham,0,0
666,ham,0,0
667,ham,0,1
668,ham,0,0
669,ham,0,0
670,ham,0,0
671,ham,0,0
672,spam,0,0
673,spam,0,0
674,ham,0,0
675,ham,0,0
676,ham,0,0
677,ham,0,0
678,ham,0,0
679,ham,0,0
680,ham,0,0
681,ham,0,0
682,ham,0,0
683,ham,0,0
684,spam,1,0
685,ham,0,0
686,ham,0,0
687,ham,0,0
688,ham,0,0
689,ham,0,0
690,spam,0,0
691,ham,0,0
692,ham,0,1
693,ham,0,0
694,ham,0,0
695,ham,0,0
696,ham,0,0
697,ham,0,0
698,ham,0,0
699,ham,0,1
700,ham,0,0
701,ham,0,0
702,ham,0,0
703,ham,0,0
704,ham,0,0
705,ham,0,0
706,ham,0,0
707,ham,0,0
708,ham,0,0
709,spam,0,0
710,spam,0,0
711,ham,0,0
712,ham,0,0
713,spam,0,0
714,ham,0,0
715,ham,0,0
716,ham,0,0
717,spam,0,0
718,ham,0,0
719,spam,0,0
720,ham,0,0
721,ham,0,0
722,ham,0,0
723,ham,0,0
724,ham,0,0
725,ham,0,0
726,ham,0,0
727,ham,0,0
728,ham,0,0
729,ham,0,0
730,ham,0,0
731,spam,0,0
732,ham,0,0
733,ham,0,0
734,ham,0,0
735,ham,0,0
736,ham,0,0
737,ham,0,0
738,spam,0,0
739,ham,0,0
740,ham,0,0
741,ham,0,0
742,ham,0,0
743,ham,0,0
744,ham,0,0
745,ham,0,0
746,ham,0,0
747,ham,0,0
748,spam,0,0
749,ham,0,0
750,ham,0,0
751,spam,0,0
752,spam,0,0
753,ham,0,0
754,ham,0,0
755,ham,0,0
756,ham,0,0
757,ham,0,0
758,ham,0,0
759,ham,0,0
760,ham,0,0
761,spam,0,0
762,ham,0,0
763,spam,0,0
764,ham,0,0
765,ham,0,0
766,spam,0,0
767,ham,0,0
768,ham,0,0
769,ham,0,0
770,ham,0,0
771,ham,0,0
772,ham,0,0
773,ham,0,0
774,ham,0,0
775,ham,0,0
776,ham,0,0
777,ham,0,0
778,ham,0,0
779,ham,0,0
780,ham,0,0
781,ham,0,0
782,ham,0,0
783,ham,0,0
784,spam,0,0
785,ham,0,0
786,ham,0,0
787,ham,0,0
788,spam,0,0
789,spam,0,0
790,ham,0,0
791,ham,0,0
792,ham,0,0
793,ham,0,0
794,ham,0,0
795,ham,0,0
796,ham,0,0
797,spam,0,0
798,ham,0,0
799,ham,0,0
800,ham,0,0
801,spam,0,0
802,ham,0,0
803,spam,0,0
804,spam,0,0
805,ham,0,0
806,ham,0,0
807,ham,0,0
808,ham,0,0
809,ham,0,0
810,ham,0,0
811,ham,0,0
812,ham,0,0
813,spam,0,0
814,ham,0,0
815,spam,0,0
816,ham,0,0
817,ham,0,0
818,ham,0,0
819,ham,0,0
820,ham,0,0
821,ham,0,0
822,ham,0,0
823,spam,0,0
824,spam,0,0
825,ham,0,0
826,ham,0,0
827,ham,0,0
828,ham,0,0
829,ham,0,0
830,ham,0,0
831,spam,0,0
832,ham,0,0
833,spam,0,0
834,ham,0,0
835,ham,0,0
836,ham,0,0
837,spam,0,0
838,ham,0,0
839,spam,0,0
840,spam,0,0
841,ham,0,0
842,ham,0,0
843,ham,0,0
844,spam,0,0
845,ham,0,0
846,ham,0,0
847,ham,0,0
848,ham,0,0
849,ham,0,0
850,spam,0,0
851,ham,0,1
852,ham,0,0
853,ham,0,0
854,ham,0,0
855,ham,0,0
856,spam,1,0
857,ham,0,0
858,ham,0,0
859,ham,0,0
860,ham,0,0
861,ham,0,0
862,ham,0,0
863,ham,0,0
864,ham,0,0
865,ham,0,0
866,spam,0,0
867,ham,0,0
868,spam,0,0
869,spam,0,0
870,spam,0,0
871,ham,0,0
872,ham,0,0
873,ham,0,0
874,ham,0,0
875,ham,0,0
876,spam,0,0
877,ham,0,0
878,spam,0,0
879,spam,0,0
880,spam,0,0
881,spam,0,0
882,ham,0,0
883,ham,0,0
884,ham,0,0
885,ham,0,0
886,ham,0,0
887,ham,0,0
888,ham,0,0
889,ham,0,0
890,ham,0,0
891,ham,0,0
892,ham,0,0
893,ham,0,0
894,ham,0,0
895,ham,0,0
896,ham,0,0
897,ham,0,0
898,ham,0,0
899,ham,0,0
900,spam,0,0
901,ham,0,0
902,ham,0,0
903,ham,0,0
904,ham,0,0
905,ham,0,0
906,ham,0,0
907,spam,0,0
908,ham,0,0
909,ham,0,0
910,spam,0,0
911,ham,0,0
912,ham,0,0
913,ham,0,0
914,ham,0,0
915,ham,0,0
916,ham,0,0
917,ham,0,0
918,ham,0,0
919,ham,0,0
920,ham,0,0
921,ham,0,0
922,ham,0,0
923,ham,0,0
924,ham,0,0
925,ham,0,0
926,ham,0,0
927,ham,0,0
928,ham,0,0
929,ham,0,0
930,spam,0,0
931,ham,0,0
932,ham,0,0
933,ham,0,0
934,ham,0,0
935,spam,0,0
936,ham,0,0
937,ham,0,0
938,ham,0,0
939,spam,0,0
940,ham,0,0
941,ham,0,0
942,ham,0,0
943,spam,0,0
944,ham,0,0
945,ham,0,0
946,ham,0,0
947,spam,0,0
948,ham,0,0
949,ham,0,0
950,ham,0,0
951,ham,0,0
952,ham,0,0
953,ham,0,0
954,ham,0,0
955,spam,0,0
956,ham,0,0
957,ham,0,0
958,ham,0,0
959,ham,0,0
960,ham,0,0
961,ham,0,0
962,spam,0,0
963,ham,0,0
964,ham,0,0
965,ham,0,0
966,ham,0,0
967,ham,0,0
968,ham,0,0
969,ham,0,0
970,ham,0,0
971,ham,0,0
972,ham,0,0
973,ham,0,0
974,ham,0,0
975,ham,0,0
976,ham,0,0
977,ham,0,0
978,ham,0,0
979,ham,0,0
980,ham,0,0
981,ham,0,0
982,ham,0,0
983,spam,0,0
984,ham,0,0
985,ham,0,0
986,ham,0,0
987,ham,0,0
988,ham,0,0
989,ham,0,0
990,ham,0,0
991,ham,0,0
992,ham,0,0
993,ham,0,0
994,ham,0,0
995,ham,0,0
996,ham,0,0
997,ham,0,0
998,ham,0,0
999,ham,0,0
1000,ham,0,0
1001,ham,0,0
1002,spam,0,0
1003,ham,0,0
1004,ham,0,0
1005,ham,0,0
1006,ham,0,0
1007,spam,0,0
1008,ham,0,0
1009,ham,0,0
1010,ham,0,0
1011,ham,0,0
1012,ham,0,0
1013,ham,0,0
1014,ham,0,1
1015,ham,0,0
1016,ham,0,0
1017,spam,0,0
1018,ham,0,0
1019,ham,0,0
1020,ham,0,0
1021,ham,0,0
1022,spam,1,0
1023,ham,0,0
1024,ham,0,0
1025,ham,0,0
1026,ham,0,0
1027,ham,0,0
1028,ham,0,0
1029,ham,0,0
1030,ham,0,0
1031,ham,0,0
1032,ham,0,0
1033,ham,0,0
1034,ham,0,0
1035,ham,0,0
1036,ham,0,0
1037,ham,0,0
1038,ham,0,0
1039,ham,0,0
1040,ham,0,0
1041,ham,0,0
1042,ham,0,0
1043,ham,0,0
1044,ham,0,0
1045,spam,0,0
1046,ham,0,0
1047,ham,0,0
1048,spam,0,0
1049,ham,0,0
1050,spam,0,0
1051,ham,0,0
1052,ham,0,0
1053,ham,0,0
1054,ham,0,0
1055,ham,0,0
1056,ham,0,0
1057,ham,0,0
1058,ham,0,0
1059,ham,0,0
1060,spam,0,0
1061,ham,0,0
1062,ham,0,0
1063,ham,0,0
1064,spam,0,0
1065,ham,0,0
1066,ham,0,0
1067,ham,0,0
1068,ham,0,0
1069,spam,0,0
1070,ham,0,0
1071,ham,0,0
1072,spam,0,0
1073,spam,0,0
1074,ham,0,0
1075,ham,0,0
1076,ham,0,0
1077,ham,0,0
1078,ham,0,0
1079,ham,0,0
1080,ham,0,0
1081,ham,0,0
1082,ham,0,0
1083,ham,0,0
1084,ham,0,0
1085,ham,0,0
1086,ham,0,0
1087,ham,0,0
1088,ham,0,0
1089,spam,0,0
1090,ham,0,0
1091,spam,0,0
1092,ham,0,0
1093,ham,0,0
1094,ham,0,0
1095,ham,0,0
1096,ham,0,0
1097,spam,0,0
1098,ham,0,1
1099,ham,0,0
1100,ham,0,0
1101,ham,0,0
1102,ham,0,0
1103,ham,0,0
1104,ham,0,0
1105,spam,0,0
1106,ham,0,0
1107,ham,0,0
1108,ham,0,0
1109,ham,0,0
1110,ham,0,0
1111,ham,0,0
1112,ham,0,0
1113,ham,0,0
1114,ham,0,0
1115,ham,0,0
1116,ham,0,0
1117,ham,0,0
1118,spam,0,0
1119,ham,0,0
1120,spam,0,0
1121,ham,0,0
1122,spam,0,0
1123,ham,0,0
1124,ham,0,0
1125,ham,0,0
1126,spam,0,0
1127,ham,0,0
1128,ham,0,0
1129,spam,0,0
1130,ham,0,0
1131,ham,0,0
1132,ham,0,0
1133,ham,0,0
1134,ham,0,0
1135,ham,0,0
1136,ham,0,0
1137,spam,0,0
1138,ham,0,0
1139,ham,0,0
1140,ham,0,0
1141,ham,0,0
1142,spam,0,0
1143,ham,0,0
1144,ham,0,0
1145,ham,0,0
1146,spam,0,0
1147,ham,0,0
1148,ham,0,0
1149,ham,0,0
1150,ham,0,0
1151,ham,0,0
1152,ham,0,0
1153,ham,0,0
1154,spam,1,0
1155,ham,0,0
1156,ham,0,0
1157,ham,0,0
1158,ham,0,0
1159,ham,0,0
1160,ham,0,1
1161,ham,0,0
1162,ham,0,0
1163,spam,0,0
1164,ham,0,0
1165,ham,0,0
1166,ham,0,0
1167,ham,0,0
1168,ham,0,0
1169,ham,0,0
1170,ham,0,0
1171,ham,0,0
1172,spam,0,0
1173,ham,0,0
1174,ham,0,0
1175,ham,0,0
1176,ham,0,0
1177,ham,0,0
1178,ham,0,0
1179,ham,0,0
1180,ham,0,0
1181,ham,0,0
1182,ham,0,0
1183,ham,0,0
1184,ham,0,0
1185,ham,0,0
1186,ham,0,0
1187,ham,0,0
1188,ham,0,0
1189,ham,0,0
1190,ham,0,0
1191,ham,0,0
1192,ham,0,0
1193,ham,0,0
1194,spam,2,0
1195,ham,0,0
1196,spam,0,0
1197,ham,0,0
1198,ham,0,0
1199,ham,0,0
1200,ham,0,0
1201,ham,0,0
1202,ham,0,0
1203,ham,0,0
1204,ham,0,0
1205,spam,0,0
1206,ham,0,0
1207,spam,0,0
1208,ham,0,0
1209,ham,0,0
1210,ham,0,0
1211,ham,0,0
1212,ham,0,0
1213,ham,0,0
1214,ham,0,0
1215,ham,0,0
1216,ham,0,0
1217,spam,0,0
1218,ham,0,0
1219,ham,0,0
1220,ham,0,0
1221,spam,0,0
1222,ham,0,0
1223,ham,0,0
1224,ham,0,0
1225,spam,0,0
1226,ham,0,0
1227,spam,0,0
1228,ham,0,0
1229,spam,0,0
1230,ham,0,0
1231,ham,0,0
1232,ham,0,0
1233,ham,0,0
1234,ham,0,0
1235,ham,0,0
1236,ham,0,0
1237,ham,0,0
1238,ham,0,0
1239,ham,0,0
1240,ham,0,0
1241,ham,0,0
1242,ham,0,0
1243,ham,0,0
1244,ham,0,0
1245,ham,0,0
1246,ham,0,0
1247,ham,0,0
1248,ham,0,0
1249,ham,0,0
1250,ham,0,0
1251,ham,0,0
1252,spam,0,0
1253,ham,0,0
1254,ham,0,0
1255,ham,0,0
1256,ham,0,0
1257,ham,0,0
1258,ham,0,0
1259,ham,0,0
1260,ham,0,0
1261,ham,0,0
1262,ham,0,0
1263,spam,0,0
1264,ham,0,0
1265,ham,0,0
1266,ham,0,0
1267,ham,0,0
1268,ham,0,0
1269,spam,0,0
1270,ham,0,0
1271,ham,0,0
1272,ham,0,0
1273,ham,0,0
1274,spam,0,0
1275,ham,0,0
1276,ham,0,0
1277,ham,0,0
1278,ham,0,0
1279,ham,0,0
1280,ham,0,0
1281,ham,0,0
1282,ham,0,0
1283,ham,0,0
1284,ham,0,0
1285,ham,0,0
1286,ham,0,0
1287,ham,0,0
1288,ham,0,0
1289,ham,0,0
1290,ham,0,0
1291,ham,0,0
1292,ham,0,0
1293,ham,0,0
1294,ham,0,0
1295,ham,0,0
1296,ham,0,0
1297,ham,0,0
1298,ham,0,0
1299,ham,0,0
1300,ham,0,0
1301,ham,0,0
1302,ham,0,0
1303,ham,0,0
1304,ham,0,0
1305,ham,0,0
1306,ham,0,0
1307,spam,0,0
1308,spam,0,0
1309,ham,0,0
1310,ham,0,0
1311,ham,0,0
1312,ham,0,0
1313,ham,0,0
1314,ham,0,0
1315,ham,0,0
1316,ham,0,0
1317,ham,0,0
1318,spam,0,0
1319,ham,0,0
1320,ham,0,0
1321,ham,0,0
1322,ham,0,0
1323,ham,0,0
1324,ham,0,0
1325,ham,0,0
1326,ham,0,0
1327,ham,0,0
1328,spam,0,0
1329,ham,0,0
1330,ham,0,0
1331,ham,0,0
1332,ham,0,0
1333,ham,0,0
1334,ham,0,0
1335,ham,0,0
1336,ham,0,0
1337,ham,0,0
1338,ham,0,1
1339,ham,0,0
1340,ham,0,0
1341,ham,0,0
1342,ham,0,0
1343,ham,0,0
1344,ham,0,0
1345,ham,0,0
1346,ham,0,0
1347,ham,0,0
1348,ham,0,0
1349,ham,0,0
1350,spam,1,0
1351,ham,0,0
1352,ham,0,0
1353,ham,0,0
1354,ham,0,0
1355,ham,0,0
1356,ham,0,0
1357,ham,0,0
1358,ham,0,0
1359,ham,0,2
1360,ham,0,0
1361,ham,0,0
1362,ham,0,0
1363,ham,0,0
1364,ham,0,0
1365,ham,0,0
1366,spam,0,0
1367,ham,0,0
1368,ham,0,0
1369,ham,0,0
1370,ham,0,0
1371,ham,0,0
1372,ham,0,0
1373,ham,0,0
1374,spam,0,0
1375,spam,0,0
1376,ham,0,0
1377,ham,0,0
1378,spam,0,0
1379,ham,0,0
1380,spam,0,0
1381,ham,0,0
1382,ham,0,0
1383,ham,0,0
1384,ham,0,0
1385,ham,0,0
1386,ham,0,0
1387,ham,0,0
1388,ham,0,0
1389,ham,0,0
1390,ham,0,0
1391,ham,0,0
1392,ham,0,0
1393,ham,0,0
1394,ham,0,0
1395,ham,0,0
1396,ham,0,0
1397,ham,0,0
1398,ham,0,0
1399,ham,0,0
1400,ham,0,0
1401,ham,0,0
1402,ham,0,0
1403,ham,0,0
1404,ham,0,0
1405,ham,0,0
1406,ham,0,0
1407,spam,0,0
